id,marital-status,occupation,relationship,race,gender
47, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
48, Divorced, Exec-managerial, Unmarried, White, Female
49, Married-civ-spouse, Craft-repair, Husband, White, Male
50, Never-married, Prof-specialty, Not-in-family, White, Male
51, Married-civ-spouse, Exec-managerial, Wife, Other, Female
52, Never-married, Other-service, Own-child, White, Female
53, Married-civ-spouse, Prof-specialty, Wife, White, Female
54, Divorced, Exec-managerial, Not-in-family, White, Male
55, Divorced, Exec-managerial, Not-in-family, White, Male
56, Married-civ-spouse, Tech-support, Husband, White, Male
57, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
58, Married-civ-spouse, Other-service, Husband, White, Male
59, Married-civ-spouse, Adm-clerical, Husband, White, Male
60, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
61, Married-civ-spouse, Sales, Husband, White, Male
62, Married-spouse-absent, ?, Not-in-family, White, Male
63, Married-civ-spouse, Transport-moving, Husband, White, Male
64, Married-civ-spouse, Prof-specialty, Husband, White, Male
65, Divorced, Tech-support, Not-in-family, White, Male
66, Married-civ-spouse, Craft-repair, Husband, White, Male
67, Divorced, Adm-clerical, Not-in-family, White, Female
68, Married-civ-spouse, Adm-clerical, Wife, White, Female
69, Married-civ-spouse, Exec-managerial, Husband, White, Male
70, Never-married, ?, Own-child, White, Male
71, Never-married, Prof-specialty, Own-child, White, Male
72, Separated, Sales, Own-child, Black, Female
73, Married-civ-spouse, Sales, Husband, White, Male
74, Never-married, Machine-op-inspct, Not-in-family, White, Male
75, Married-civ-spouse, Prof-specialty, Other-relative, White, Male
76, Never-married, Other-service, Own-child, White, Male
77, Married-civ-spouse, Adm-clerical, Husband, White, Male
78, Married-civ-spouse, ?, Husband, White, Male
79, Never-married, Other-service, Own-child, White, Female
80, Married-civ-spouse, Farming-fishing, Husband, White, Male
81, Never-married, Sales, Not-in-family, White, Male
82, Married-civ-spouse, Other-service, Husband, White, Male
83, Married-civ-spouse, Other-service, Wife, White, Female
84, Married-civ-spouse, Sales, Husband, White, Male
85, Divorced, Craft-repair, Not-in-family, White, Female
86, Divorced, Sales, Own-child, White, Female
87, Married-civ-spouse, Protective-serv, Husband, White, Male
88, Married-civ-spouse, Prof-specialty, Husband, White, Male
89, Never-married, Sales, Not-in-family, White, Male
90, Never-married, Prof-specialty, Not-in-family, White, Female
91, Married-civ-spouse, Prof-specialty, Husband, White, Male
92, Divorced, Craft-repair, Unmarried, White, Female
93, Divorced, Machine-op-inspct, Unmarried, Black, Female
94, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female
95, Married-civ-spouse, Protective-serv, Husband, White, Male
96, Never-married, Handlers-cleaners, Not-in-family, White, Male
97, Married-civ-spouse, Prof-specialty, Husband, White, Male
98, Married-civ-spouse, Sales, Husband, White, Male
99, Divorced, Exec-managerial, Unmarried, White, Female
100, Never-married, Other-service, Own-child, Black, Male
101, Married-civ-spouse, Exec-managerial, Husband, White, Male
102, Married-civ-spouse, Exec-managerial, Husband, White, Male
103, Never-married, Prof-specialty, Not-in-family, White, Female
104, Never-married, Tech-support, Own-child, White, Female
105, Never-married, Craft-repair, Not-in-family, White, Male
106, Married-civ-spouse, Craft-repair, Husband, White, Male
107, Never-married, ?, Own-child, White, Female
108, Never-married, Handlers-cleaners, Own-child, White, Male
109, Never-married, Adm-clerical, Not-in-family, White, Female
110, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
111, Never-married, Sales, Other-relative, White, Male
112, Married-civ-spouse, Prof-specialty, Husband, White, Male
113, Married-civ-spouse, Other-service, Husband, White, Male
114, Married-civ-spouse, Sales, Wife, White, Female
115, Never-married, Machine-op-inspct, Own-child, White, Female
116, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
117, Married-civ-spouse, Sales, Husband, White, Male
118, Married-civ-spouse, Craft-repair, Husband, Black, Male
119, Married-civ-spouse, Sales, Husband, White, Male
120, Never-married, Craft-repair, Not-in-family, White, Male
121, Never-married, Other-service, Own-child, White, Female
122, Married-civ-spouse, Exec-managerial, Husband, White, Male
123, Never-married, Exec-managerial, Own-child, Black, Male
124, Married-civ-spouse, Prof-specialty, Husband, White, Male
125, Never-married, Other-service, Own-child, Black, Male
126, Married-civ-spouse, Exec-managerial, Wife, White, Female
127, Never-married, Adm-clerical, Own-child, White, Female
128, Married-civ-spouse, Adm-clerical, Husband, White, Male
129, Married-civ-spouse, ?, Husband, White, Male
130, Divorced, Craft-repair, Not-in-family, White, Male
131, Never-married, Sales, Not-in-family, White, Female
132, Never-married, Other-service, Not-in-family, White, Female
133, Married-civ-spouse, Craft-repair, Husband, White, Male
134, Married-civ-spouse, Sales, Husband, White, Male
135, Divorced, Tech-support, Not-in-family, Black, Female
136, Married-civ-spouse, Prof-specialty, Husband, White, Male
137, Married-civ-spouse, Craft-repair, Husband, White, Male
138, Married-civ-spouse, Adm-clerical, Wife, White, Female
139, Never-married, Sales, Own-child, White, Male
140, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male
141, Married-civ-spouse, Craft-repair, Husband, White, Male
142, Never-married, Sales, Own-child, White, Female
143, Never-married, Other-service, Own-child, White, Male
144, Never-married, Prof-specialty, Not-in-family, White, Female
145, Never-married, Tech-support, Other-relative, White, Male
146, Never-married, Transport-moving, Unmarried, Black, Female
147, Married-civ-spouse, Other-service, Husband, White, Male
148, Widowed, Other-service, Unmarried, White, Female
149, Married-civ-spouse, Craft-repair, Husband, White, Male
150, Divorced, ?, Not-in-family, White, Female
151, Divorced, Adm-clerical, Unmarried, White, Female
152, Never-married, Adm-clerical, Not-in-family, White, Female
153, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female
154, Never-married, Craft-repair, Own-child, White, Male
155, Divorced, ?, Not-in-family, White, Male
156, Married-civ-spouse, Craft-repair, Husband, White, Male
157, Never-married, Handlers-cleaners, Not-in-family, White, Male
158, Separated, Sales, Unmarried, Black, Male
159, Divorced, Craft-repair, Not-in-family, White, Male
160, Separated, Other-service, Other-relative, Black, Male
161, Divorced, ?, Not-in-family, White, Female
162, Never-married, Other-service, Unmarried, White, Female
163, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female
164, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female
165, Married-civ-spouse, Sales, Husband, White, Male
166, Divorced, Other-service, Unmarried, White, Female
167, Never-married, Exec-managerial, Not-in-family, White, Male
168, Widowed, Protective-serv, Unmarried, White, Male
169, Never-married, Handlers-cleaners, Own-child, White, Male
170, Widowed, Prof-specialty, Not-in-family, White, Female
171, Never-married, Other-service, Not-in-family, White, Male
172, Married-civ-spouse, Protective-serv, Husband, White, Male
173, Married-civ-spouse, Sales, Husband, White, Male
174, Never-married, Craft-repair, Not-in-family, White, Male
175, Married-civ-spouse, Prof-specialty, Husband, White, Male
176, Married-spouse-absent, Sales, Unmarried, White, Female
177, Never-married, Craft-repair, Own-child, Black, Male
178, Never-married, Handlers-cleaners, Not-in-family, Black, Male
179, Never-married, Other-service, Own-child, White, Male
180, Married-civ-spouse, Prof-specialty, Husband, White, Male
181, Married-civ-spouse, Exec-managerial, Husband, Black, Male
182, Divorced, Adm-clerical, Not-in-family, White, Female
183, Never-married, Craft-repair, Not-in-family, Black, Male
184, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
185, Married-civ-spouse, Adm-clerical, Husband, White, Male
186, Married-civ-spouse, Adm-clerical, Husband, Black, Male
187, Divorced, Exec-managerial, Not-in-family, White, Female
188, Divorced, ?, Not-in-family, White, Female
189, Married-civ-spouse, Prof-specialty, Wife, White, Female
190, Married-civ-spouse, Prof-specialty, Husband, White, Male
191, Divorced, Machine-op-inspct, Not-in-family, Black, Female
192, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
193, Married-civ-spouse, Craft-repair, Husband, Black, Male
194, Married-civ-spouse, Tech-support, Husband, White, Male
195, Married-civ-spouse, Tech-support, Husband, White, Male
196, Married-civ-spouse, Transport-moving, Other-relative, White, Male
197, Divorced, Craft-repair, Not-in-family, White, Male
198, Never-married, Exec-managerial, Not-in-family, White, Female
199, Married-civ-spouse, Prof-specialty, Other-relative, White, Male
200, Never-married, Sales, Not-in-family, White, Male
201, Never-married, Prof-specialty, Not-in-family, White, Female
202, Never-married, ?, Own-child, White, Male
203, Married-civ-spouse, Exec-managerial, Husband, White, Male
204, Never-married, Prof-specialty, Not-in-family, White, Female
205, Divorced, Adm-clerical, Unmarried, White, Female
206, Never-married, Sales, Own-child, White, Female
207, Married-civ-spouse, Other-service, Husband, Black, Male
208, Divorced, Craft-repair, Not-in-family, White, Male
209, Married-civ-spouse, Sales, Wife, White, Female
210, Never-married, Sales, Own-child, White, Female
211, Married-civ-spouse, Transport-moving, Husband, Black, Male
212, Married-civ-spouse, Craft-repair, Husband, White, Male
213, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female
214, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male
215, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
216, Never-married, Exec-managerial, Not-in-family, Black, Male
217, Divorced, Sales, Not-in-family, White, Female
218, Married-civ-spouse, Sales, Husband, White, Male
219, Married-civ-spouse, Prof-specialty, Husband, White, Male
220, Never-married, Craft-repair, Not-in-family, White, Male
221, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
222, Divorced, ?, Not-in-family, White, Male
223, Never-married, Other-service, Not-in-family, Black, Male
224, Married-civ-spouse, Adm-clerical, Husband, Black, Male
225, Never-married, Machine-op-inspct, Not-in-family, White, Female
226, Never-married, Sales, Own-child, White, Female
227, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female
228, Married-civ-spouse, Farming-fishing, Husband, White, Male
229, Widowed, Adm-clerical, Not-in-family, White, Female
230, Divorced, Adm-clerical, Not-in-family, White, Female
231, Separated, Transport-moving, Not-in-family, Black, Male
232, Divorced, Sales, Unmarried, Black, Female
233, Never-married, Adm-clerical, Not-in-family, White, Male
234, Divorced, Craft-repair, Other-relative, Other, Female
235, Never-married, Prof-specialty, Not-in-family, White, Male
236, Married-civ-spouse, Other-service, Husband, White, Male
237, Never-married, Adm-clerical, Not-in-family, White, Female
238, Married-civ-spouse, Exec-managerial, Husband, White, Male
239, Married-civ-spouse, Exec-managerial, Husband, White, Male
240, Never-married, Transport-moving, Own-child, White, Male
241, Married-civ-spouse, Prof-specialty, Husband, White, Male
242, Married-civ-spouse, Other-service, Wife, White, Female
243, Married-civ-spouse, Protective-serv, Husband, White, Male
244, Never-married, ?, Own-child, White, Male
245, Divorced, Craft-repair, Not-in-family, White, Male
246, Married-civ-spouse, Adm-clerical, Husband, White, Male
247, Married-civ-spouse, Adm-clerical, Husband, White, Male
248, Never-married, Other-service, Not-in-family, White, Female
249, Married-civ-spouse, Tech-support, Husband, White, Male
250, Married-civ-spouse, Adm-clerical, Husband, White, Male
251, Married-civ-spouse, Prof-specialty, Wife, White, Female
252, Married-civ-spouse, Adm-clerical, Wife, Black, Female
253, Widowed, Other-service, Unmarried, Black, Female
254, Never-married, Adm-clerical, Own-child, White, Male
255, Never-married, Transport-moving, Not-in-family, White, Male
256, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male
257, Never-married, Other-service, Own-child, White, Female
258, Separated, Other-service, Not-in-family, White, Female
259, Widowed, Exec-managerial, Not-in-family, White, Female
260, Divorced, Craft-repair, Not-in-family, White, Male
261, Divorced, Prof-specialty, Own-child, White, Female
262, Married-civ-spouse, Sales, Husband, White, Male
263, Never-married, Other-service, Own-child, White, Male
264, Married-civ-spouse, Sales, Husband, White, Male
265, Married-civ-spouse, Craft-repair, Husband, White, Male
266, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male
267, Never-married, ?, Own-child, White, Male
268, Married-civ-spouse, Exec-managerial, Husband, White, Male
269, Never-married, Prof-specialty, Not-in-family, White, Female
270, Married-civ-spouse, Craft-repair, Wife, White, Female
271, Married-civ-spouse, Exec-managerial, Husband, White, Male
272, Never-married, Other-service, Own-child, White, Male
273, Married-civ-spouse, Farming-fishing, Husband, White, Male
274, Never-married, Prof-specialty, Own-child, White, Male
275, Divorced, Prof-specialty, Own-child, White, Female
276, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male
277, Married-civ-spouse, Craft-repair, Husband, White, Male
278, Never-married, Exec-managerial, Not-in-family, White, Female
279, Never-married, Tech-support, Own-child, White, Female
280, Married-civ-spouse, Machine-op-inspct, Wife, White, Female
281, Never-married, Prof-specialty, Not-in-family, White, Female
282, Married-civ-spouse, Craft-repair, Husband, White, Male
283, Divorced, Sales, Unmarried, Black, Female
284, Divorced, Prof-specialty, Not-in-family, White, Female
285, Never-married, Handlers-cleaners, Own-child, White, Male
286, Married-civ-spouse, Sales, Husband, White, Male
287, Married-civ-spouse, Prof-specialty, Husband, White, Male
288, Divorced, Other-service, Not-in-family, White, Male
289, Never-married, Exec-managerial, Not-in-family, White, Female
290, Married-civ-spouse, Craft-repair, Husband, White, Male
291, Married-civ-spouse, Prof-specialty, Husband, White, Male
292, Divorced, Prof-specialty, Not-in-family, White, Female
293, Never-married, Protective-serv, Not-in-family, White, Male
294, Never-married, Sales, Own-child, White, Male
295, Never-married, Tech-support, Unmarried, Black, Female
296, Married-civ-spouse, Transport-moving, Husband, White, Male
297, Divorced, Sales, Not-in-family, White, Female
298, Married-civ-spouse, ?, Wife, Asian-Pac-Islander, Female
299, Never-married, Craft-repair, Own-child, White, Male
300, Divorced, Sales, Not-in-family, White, Male
301, Married-civ-spouse, Adm-clerical, Husband, White, Male
302, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female
303, Married-civ-spouse, Transport-moving, Husband, White, Male
304, Married-civ-spouse, Sales, Husband, White, Male
305, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female
306, Divorced, Adm-clerical, Not-in-family, White, Female
307, Never-married, Tech-support, Not-in-family, White, Male
308, Never-married, Prof-specialty, Not-in-family, White, Female
309, Married-civ-spouse, Adm-clerical, Husband, White, Male
310, Married-civ-spouse, Farming-fishing, Husband, White, Male
311, Never-married, Sales, Not-in-family, White, Male
312, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male
313, Never-married, ?, Own-child, Black, Female
314, Divorced, Prof-specialty, Not-in-family, Black, Female
315, Never-married, Sales, Own-child, White, Male
316, Never-married, Machine-op-inspct, Not-in-family, White, Male
317, Married-civ-spouse, Sales, Husband, White, Male
318, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Female
319, Never-married, Tech-support, Not-in-family, White, Female
320, Widowed, Other-service, Not-in-family, White, Female
321, Married-civ-spouse, Exec-managerial, Husband, White, Male
322, Married-civ-spouse, Craft-repair, Husband, White, Male
323, Divorced, Transport-moving, Not-in-family, White, Male
324, Never-married, Exec-managerial, Not-in-family, White, Female
325, Married-civ-spouse, Craft-repair, Husband, White, Male
326, Married-civ-spouse, Farming-fishing, Husband, White, Male
327, Never-married, ?, Own-child, Black, Female
328, Married-civ-spouse, Prof-specialty, Wife, White, Female
329, Married-civ-spouse, Handlers-cleaners, Husband, White, Male
330, Never-married, Transport-moving, Not-in-family, White, Male
331, Never-married, Craft-repair, Not-in-family, Black, Male
332, Never-married, Adm-clerical, Not-in-family, White, Male
333, Never-married, Other-service, Not-in-family, White, Male
334, Married-civ-spouse, Adm-clerical, Husband, White, Male
335, Married-civ-spouse, Transport-moving, Husband, White, Male
336, Never-married, Other-service, Other-relative, White, Male
337, Never-married, Craft-repair, Other-relative, White, Male
338, Never-married, Prof-specialty, Not-in-family, White, Male
339, Never-married, Sales, Unmarried, Black, Male
340, Married-civ-spouse, Other-service, Husband, Black, Male
341, Never-married, Sales, Not-in-family, White, Male
342, Married-civ-spouse, Craft-repair, Husband, White, Male
343, Married-civ-spouse, Protective-serv, Husband, White, Male
344, Never-married, Farming-fishing, Not-in-family, White, Male
345, Never-married, Protective-serv, Own-child, Black, Female
346, Never-married, Sales, Not-in-family, White, Male
347, Married-civ-spouse, ?, Husband, White, Male
348, Divorced, ?, Unmarried, White, Female
349, Married-spouse-absent, Other-service, Not-in-family, White, Male
350, Never-married, Prof-specialty, Own-child, White, Male
351, Married-civ-spouse, Exec-managerial, Husband, White, Male
352, Married-civ-spouse, Other-service, Husband, White, Male
353, Married-civ-spouse, Exec-managerial, Husband, White, Male
354, Married-civ-spouse, Transport-moving, Husband, White, Male
355, Married-civ-spouse, ?, Husband, White, Male
356, Married-civ-spouse, Adm-clerical, Husband, White, Male
357, Widowed, Other-service, Unmarried, Other, Male
358, Married-civ-spouse, Tech-support, Husband, White, Male
359, Married-civ-spouse, Adm-clerical, Wife, White, Female
360, Married-civ-spouse, Craft-repair, Husband, White, Male
361, Married-civ-spouse, Other-service, Wife, White, Female
362, Married-civ-spouse, Prof-specialty, Husband, White, Male
363, Married-civ-spouse, Transport-moving, Husband, White, Male
364, Divorced, Exec-managerial, Not-in-family, White, Male
365, Married-spouse-absent, Sales, Not-in-family, White, Male
366, Married-civ-spouse, Craft-repair, Husband, White, Male
367, Married-civ-spouse, Sales, Husband, White, Male
368, Never-married, Sales, Not-in-family, White, Female
369, Divorced, Exec-managerial, Not-in-family, White, Female
370, Divorced, Sales, Unmarried, White, Female
371, Never-married, Adm-clerical, Unmarried, White, Female
372, Never-married, Other-service, Own-child, White, Male
373, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
374, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male
375, Never-married, Craft-repair, Not-in-family, Black, Male
376, Never-married, Adm-clerical, Own-child, White, Female
377, Married-civ-spouse, Craft-repair, Wife, White, Female
378, Never-married, Sales, Not-in-family, White, Male
379, Divorced, Exec-managerial, Not-in-family, White, Male
380, Married-civ-spouse, Sales, Husband, White, Male
381, Divorced, Transport-moving, Not-in-family, White, Male
382, Divorced, Craft-repair, Not-in-family, White, Female
383, Married-civ-spouse, Craft-repair, Husband, White, Male
384, Divorced, Sales, Not-in-family, White, Female
385, Married-civ-spouse, Transport-moving, Wife, White, Female
386, Never-married, Other-service, Not-in-family, White, Female
387, Separated, Machine-op-inspct, Not-in-family, White, Male
388, Married-civ-spouse, Adm-clerical, Wife, White, Female
389, Never-married, Adm-clerical, Own-child, White, Female
390, Never-married, Other-service, Other-relative, White, Female
391, Married-civ-spouse, Other-service, Wife, White, Female
392, Never-married, Craft-repair, Not-in-family, White, Male
393, Separated, Craft-repair, Not-in-family, White, Male
394, Married-civ-spouse, Exec-managerial, Husband, White, Male
395, Never-married, Other-service, Not-in-family, White, Female
396, Married-civ-spouse, Tech-support, Husband, White, Male
397, Divorced, Handlers-cleaners, Unmarried, White, Female
398, Never-married, ?, Other-relative, White, Female
399, Married-civ-spouse, Exec-managerial, Husband, White, Male
400, Married-civ-spouse, Exec-managerial, Husband, White, Male
401, Never-married, Handlers-cleaners, Own-child, White, Male
402, Never-married, Other-service, Not-in-family, White, Female
403, Married-civ-spouse, Protective-serv, Husband, White, Male
404, Divorced, Tech-support, Not-in-family, White, Female
405, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male
406, Married-civ-spouse, Exec-managerial, Husband, White, Male
407, Married-civ-spouse, Adm-clerical, Husband, White, Male
408, Married-civ-spouse, Craft-repair, Husband, White, Male
409, Married-civ-spouse, ?, Wife, White, Female
410, Married-civ-spouse, Exec-managerial, Husband, White, Male
411, Divorced, Other-service, Not-in-family, Black, Female
412, Never-married, Handlers-cleaners, Unmarried, Black, Female
413, Divorced, Exec-managerial, Unmarried, White, Female
414, Married-civ-spouse, Exec-managerial, Husband, White, Male
415, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
416, Divorced, Craft-repair, Not-in-family, White, Male
417, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
418, Never-married, Other-service, Own-child, White, Female
419, Separated, Machine-op-inspct, Not-in-family, Black, Male
420, Divorced, Transport-moving, Unmarried, White, Female
421, Married-civ-spouse, Sales, Husband, White, Male
422, Never-married, Handlers-cleaners, Own-child, White, Male
423, Married-civ-spouse, Exec-managerial, Wife, White, Female
424, Divorced, Farming-fishing, Not-in-family, White, Male
425, Never-married, Craft-repair, Unmarried, White, Female
426, Married-civ-spouse, Transport-moving, Husband, White, Male
427, Never-married, Prof-specialty, Not-in-family, White, Male
428, Never-married, Handlers-cleaners, Not-in-family, White, Male
429, Married-civ-spouse, Exec-managerial, Husband, White, Male
430, Married-civ-spouse, Prof-specialty, Husband, White, Male
431, Widowed, ?, Not-in-family, White, Male
432, Never-married, ?, Own-child, White, Male
433, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female
434, Married-civ-spouse, Other-service, Wife, White, Female
435, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male
436, Married-civ-spouse, Prof-specialty, Husband, White, Male
437, Never-married, Farming-fishing, Not-in-family, Black, Male
438, Never-married, Protective-serv, Not-in-family, White, Female
439, Married-civ-spouse, Adm-clerical, Husband, White, Male
440, Married-civ-spouse, Adm-clerical, Wife, White, Female
441, Never-married, Prof-specialty, Not-in-family, White, Male
442, Divorced, Adm-clerical, Not-in-family, White, Female
443, Never-married, Armed-Forces, Own-child, White, Male
444, Married-civ-spouse, Prof-specialty, Husband, White, Male
445, Never-married, Craft-repair, Other-relative, White, Male
446, Never-married, Sales, Not-in-family, White, Male
447, Widowed, Exec-managerial, Unmarried, Black, Female
448, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male
449, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
450, Never-married, ?, Own-child, White, Female
451, Never-married, Machine-op-inspct, Own-child, Black, Female
452, Married-civ-spouse, Craft-repair, Husband, White, Male
453, Married-civ-spouse, Craft-repair, Husband, White, Male
454, Married-civ-spouse, Exec-managerial, Husband, Black, Male
455, Married-civ-spouse, Sales, Wife, White, Female
456, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male
457, Married-civ-spouse, Exec-managerial, Wife, White, Female
458, Married-civ-spouse, Transport-moving, Husband, Black, Male
459, Married-civ-spouse, Transport-moving, Husband, White, Male
460, Married-civ-spouse, ?, Husband, White, Male
461, Never-married, Farming-fishing, Own-child, White, Male
462, Married-civ-spouse, Transport-moving, Husband, Black, Male
463, Married-civ-spouse, Prof-specialty, Husband, White, Male
464, Married-spouse-absent, Craft-repair, Unmarried, White, Male
465, Never-married, Tech-support, Not-in-family, White, Female
466, Married-civ-spouse, Adm-clerical, Wife, White, Female
467, Divorced, Transport-moving, Unmarried, White, Male
468, Married-civ-spouse, Transport-moving, Husband, White, Male
469, Married-civ-spouse, Exec-managerial, Husband, White, Male
470, Married-civ-spouse, Tech-support, Wife, White, Female
471, Never-married, Prof-specialty, Unmarried, White, Male
472, Never-married, ?, Own-child, White, Male
473, Never-married, Craft-repair, Not-in-family, White, Male
474, Never-married, Transport-moving, Not-in-family, White, Male
475, Divorced, Other-service, Not-in-family, White, Female
476, Never-married, Craft-repair, Not-in-family, White, Female
477, Never-married, Other-service, Not-in-family, White, Male
478, Never-married, Handlers-cleaners, Own-child, White, Male
479, Never-married, Other-service, Not-in-family, White, Male
480, Never-married, Other-service, Unmarried, White, Female
481, Married-civ-spouse, Craft-repair, Husband, White, Male
482, Married-civ-spouse, Craft-repair, Husband, White, Male
483, Never-married, Prof-specialty, Not-in-family, White, Male
484, Married-spouse-absent, Craft-repair, Unmarried, White, Female
485, Never-married, ?, Other-relative, Black, Male
486, Married-spouse-absent, Adm-clerical, Own-child, Black, Female
487, Married-civ-spouse, ?, Husband, White, Male
488, Married-civ-spouse, Transport-moving, Husband, White, Male
489, Divorced, Prof-specialty, Unmarried, White, Female
490, Married-civ-spouse, Sales, Husband, White, Male
491, Never-married, Other-service, Not-in-family, White, Female
492, Divorced, Adm-clerical, Not-in-family, White, Male
493, Never-married, Exec-managerial, Not-in-family, White, Female
494, Divorced, Prof-specialty, Unmarried, White, Female
495, Never-married, Craft-repair, Own-child, White, Male
496, Divorced, Adm-clerical, Unmarried, White, Female
497, Never-married, Machine-op-inspct, Own-child, White, Male
498, Never-married, Other-service, Own-child, White, Male
499, Never-married, Prof-specialty, Not-in-family, White, Female
500, Married-civ-spouse, ?, Husband, White, Male
501, Never-married, Farming-fishing, Not-in-family, White, Male
502, Married-civ-spouse, Transport-moving, Husband, White, Male
503, Married-civ-spouse, Adm-clerical, Husband, White, Male
504, Divorced, Other-service, Unmarried, White, Female
505, Never-married, Sales, Not-in-family, White, Female
506, Never-married, Exec-managerial, Not-in-family, Black, Male
507, Never-married, Protective-serv, Own-child, White, Male
508, Married-civ-spouse, Exec-managerial, Husband, White, Male
509, Separated, Adm-clerical, Unmarried, Black, Female
510, Divorced, Other-service, Unmarried, White, Female
511, Married-spouse-absent, Handlers-cleaners, Unmarried, White, Male
512, Widowed, ?, Unmarried, Black, Female
513, Never-married, Craft-repair, Not-in-family, White, Male
514, Married-civ-spouse, Prof-specialty, Husband, White, Male
515, Divorced, Craft-repair, Not-in-family, White, Male
516, Widowed, ?, Unmarried, White, Female
517, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female
